Drug	Size	Name	Recall	Precision
Ethambutol	r1000	ERR176590	0.05410821643286573	0.5192307692307693
Ethambutol	r1000	ERR176605	0.018036072144288578	0.8181818181818182
Ethambutol	r1000	ERR176607	0.1282565130260521	0.7619047619047619
Ethambutol	r1000	ERR176624	0.012024048096192385	0.75
Ethambutol	r1000	ERR176635	0.3246492985971944	0.7570093457943925
Ethambutol	r1000	ERR176659	0.05811623246492986	0.7837837837837838
Ethambutol	r1000	ERR176666	0.10821643286573146	0.7605633802816901
Ethambutol	r1000	ERR176685	0.22845691382765532	0.7549668874172185
Ethambutol	r1000	ERR176692	0.018036072144288578	0.9
Ethambutol	r1000	ERR176701	0.1903807615230461	0.76
Ethambutol	r1000	ERR176736	0.11422845691382766	0.75
Ethambutol	r1000	ERR176752	0.14228456913827656	0.8068181818181818
Ethambutol	r1000	ERR176789	0.08216432865731463	0.7884615384615384
Ethambutol	r1000	ERR176804	0.006012024048096192	0.75
Ethambutol	r1000	ERR176825	0.1903807615230461	0.7786885245901639
Ethambutol	r1000	ERR181674	0.2865731462925852	0.7606382978723404
Ethambutol	r1000	ERR181682	0.014028056112224449	0.5384615384615384
Ethambutol	r1000	ERR181773	0.16432865731462926	0.7663551401869159
Ethambutol	r1000	ERR181777	0.006012024048096192	0.75
Ethambutol	r1000	ERR181786	0.03406813627254509	0.6296296296296297
Ethambutol	r1000	ERR181795	0.15831663326653306	0.8144329896907216
Ethambutol	r1000	ERR181808	0.006012024048096192	0.75
Ethambutol	r1000	ERR181821	0.09218436873747494	0.8214285714285714
Ethambutol	r1000	ERR181828	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR181863	0.014028056112224449	0.5384615384615384
Ethambutol	r1000	ERR181868	0.13827655310621242	0.8625
Ethambutol	r1000	ERR181874	0.08817635270541083	0.8
Ethambutol	r1000	ERR181876	0.12024048096192384	0.8
Ethambutol	r1000	ERR181879	0.0841683366733467	0.8235294117647058
Ethambutol	r1000	ERR181942	0.20841683366733466	0.7536231884057971
Ethambutol	r1000	ERR181951	0.0781563126252505	0.75
Ethambutol	r1000	ERR181985	0.11222444889779559	0.8
Ethambutol	r1000	ERR181989	0.008016032064128256	0.8
Ethambutol	r1000	ERR182016	0.006012024048096192	0.75
Ethambutol	r1000	ERR182021	0.0841683366733467	0.8235294117647058
Ethambutol	r1000	ERR182039	0.10020040080160321	0.78125
Ethambutol	r1000	ERR182045	0.1623246492985972	0.7641509433962265
Ethambutol	r1000	ERR182049	0.19438877755511022	0.7698412698412699
Ethambutol	r1000	ERR182050	0.11222444889779559	0.7887323943661971
Ethambutol	r1000	ERR1873438	0.028056112224448898	0.7368421052631579
Ethambutol	r1000	ERR1873447	0.18036072144288579	0.7563025210084033
Ethambutol	r1000	ERR1873454	0.0841683366733467	0.7636363636363637
Ethambutol	r1000	ERR1873468	0.006012024048096192	0.5
Ethambutol	r1000	ERR1873486	0.05410821643286573	0.5192307692307693
Ethambutol	r1000	ERR1873493	0.20641282565130262	0.7744360902255639
Ethambutol	r1000	ERR1873526	0.01002004008016032	0.5
Ethambutol	r1000	ERR1873565	0.12224448897795591	0.5304347826086957
Ethambutol	r1000	ERR190336	0.1282565130260521	0.7710843373493976
Ethambutol	r1000	ERR190346	0.036072144288577156	0.75
Ethambutol	r1000	ERR190348	0.1402805611222445	0.7526881720430108
Ethambutol	r1000	ERR190352	0.11022044088176353	0.7534246575342466
Ethambutol	r1000	ERR190382	0.06212424849699399	0.775
Ethambutol	r1000	ERR190389	0.5951903807615231	0.7538071065989848
Ethambutol	r1000	ERR190397	0.11222444889779559	0.7887323943661971
Ethambutol	r1000	ERR190408	0.24248496993987975	0.7857142857142857
Ethambutol	r1000	ERR2041936	0.10821643286573146	0.8307692307692308
Ethambutol	r1000	ERR212004	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR212031	0.014028056112224449	0.5384615384615384
Ethambutol	r1000	ERR212032	0.0841683366733467	0.8235294117647058
Ethambutol	r1000	ERR212050	0.18637274549098196	0.7560975609756098
Ethambutol	r1000	ERR212066	0.13827655310621242	0.7582417582417582
Ethambutol	r1000	ERR212089	0.006012024048096192	0.75
Ethambutol	r1000	ERR212104	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR212115	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR212161	0.028056112224448898	0.7
Ethambutol	r1000	ERR2124097	0.1523046092184369	0.8085106382978723
Ethambutol	r1000	ERR2124104	0.06613226452905811	0.7857142857142857
Ethambutol	r1000	ERR2145490	0.006012024048096192	0.75
Ethambutol	r1000	ERR2145504	0.08617234468937876	0.7818181818181819
Ethambutol	r1000	ERR216980	0.028056112224448898	0.7368421052631579
Ethambutol	r1000	ERR221531	0.01002004008016032	0.5555555555555556
Ethambutol	r1000	ERR221547	0.09819639278557114	0.765625
Ethambutol	r1000	ERR221584	0.0	0.0
Ethambutol	r1000	ERR221596	0.12224448897795591	0.782051282051282
Ethambutol	r1000	ERR221609	0.2124248496993988	0.75177304964539
Ethambutol	r1000	ERR245685	0.14228456913827656	0.7717391304347826
Ethambutol	r1000	ERR245686	0.05410821643286573	0.5192307692307693
Ethambutol	r1000	ERR245701	0.1623246492985972	0.7788461538461539
Ethambutol	r1000	ERR245702	0.04408817635270541	0.7857142857142857
Ethambutol	r1000	ERR245709	0.09418837675350701	0.7580645161290323
Ethambutol	r1000	ERR245718	0.24448897795591182	0.7625
Ethambutol	r1000	ERR245723	0.10020040080160321	0.7692307692307693
Ethambutol	r1000	ERR245727	0.20240480961923848	0.753731343283582
Ethambutol	r1000	ERR245733	0.08817635270541083	0.8148148148148148
Ethambutol	r1000	ERR245736	0.24849699398797595	0.7515151515151515
Ethambutol	r1000	ERR245767	0.04408817635270541	0.7586206896551724
Ethambutol	r1000	ERR245773	0.0841683366733467	0.8235294117647058
Ethambutol	r1000	ERR245777	0.10420841683366733	0.7428571428571429
Ethambutol	r1000	ERR245785	0.1062124248496994	0.7361111111111112
Ethambutol	r1000	ERR245787	0.12224448897795591	0.7625
Ethambutol	r1000	ERR245798	0.1342685370741483	0.7701149425287356
Ethambutol	r1000	ERR3256128	0.12625250501002003	0.75
Ethambutol	r1000	ERR3256132	0.12625250501002003	0.75
Ethambutol	r1000	ERR3256158	0.012024048096192385	0.6
Ethambutol	r1000	ERR3256200	0.050100200400801605	0.7575757575757576
Ethambutol	r1000	ERR3256211	0.10821643286573146	0.7605633802816901
Ethambutol	r1000	ERR3256223	0.04609218436873747	0.6052631578947368
Ethambutol	r1000	ERR3256224	0.07014028056112225	0.7777777777777778
Ethambutol	r1000	ERR3256276	0.0	0.0
Ethambutol	r1000	ERR550651	0.0841683366733467	0.8235294117647058
Ethambutol	r1000	ERR550784	0.09619238476953908	0.8
Ethambutol	r1000	ERR550786	0.04408817635270541	0.7333333333333333
Ethambutol	r1000	ERR551591	0.15030060120240482	0.7575757575757576
Ethambutol	r1000	ERR551726	0.0	0.0
Ethambutol	r1000	ERR551918	0.20240480961923848	0.753731343283582
Ethambutol	r1000	ERR552244	0.20841683366733466	0.7819548872180451
Ethambutol	r1000	ERR552346	0.16633266533066132	0.7830188679245284
Ethambutol	r1000	ERR552442	0.008016032064128256	0.8
Ethambutol	r1000	ERR552500	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	ERR553050	0.05410821643286573	0.75
Ethambutol	r1000	SAMEA1015940	0.2625250501002004	0.7443181818181818
Ethambutol	r1000	SAMEA1016078	0.42084168336673344	0.7984790874524715
Ethambutol	r1000	SAMEA1016120	0.10821643286573146	0.7297297297297297
Ethambutol	r1000	SAMEA1016137	0.07414829659318638	0.8409090909090909
Ethambutol	r1000	SAMEA1016161	0.12024048096192384	0.7692307692307693
Ethambutol	r1000	SAMEA1018850	0.6132264529058116	0.7536945812807881
Ethambutol	r1000	SAMEA1018872	0.29458917835671344	0.7313432835820896
Ethambutol	r1000	SAMEA1018931	0.49899799599198397	0.7014084507042253
Ethambutol	r1000	SAMEA1018950	0.09218436873747494	0.7540983606557377
Ethambutol	r1000	SAMEA1018960	0.5070140280561122	0.7008310249307479
Ethambutol	r1000	SAMEA1018995	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	SAMEA1018998	0.15030060120240482	0.7575757575757576
Ethambutol	r1000	SAMEA1019029	0.25851703406813625	0.712707182320442
Ethambutol	r1000	SAMEA1019031	0.14428857715430862	0.75
Ethambutol	r1000	SAMEA1019047	0.008016032064128256	0.8
Ethambutol	r1000	SAMEA1019123	0.20841683366733466	0.7375886524822695
Ethambutol	r1000	SAMEA1019142	0.13226452905811623	0.717391304347826
Ethambutol	r1000	SAMEA1019274	0.14228456913827656	0.7717391304347826
Ethambutol	r1000	SAMEA1019281	0.052104208416833664	0.7428571428571429
Ethambutol	r1000	SAMEA1019286	0.006012024048096192	0.75
Ethambutol	r1000	SAMEA1019324	0.10821643286573146	0.7714285714285715
Ethambutol	r1000	SAMEA104172424	0.04809619238476954	0.6
Ethambutol	r1000	SAMEA104172507	0.06012024048096192	0.7142857142857143
Ethambutol	r1000	SAMEA104302736	0.028056112224448898	0.7
Ethambutol	r1000	SAMEA104302756	0.10220440881763528	0.7611940298507462
Ethambutol	r1000	SAMEA104302762	0.11422845691382766	0.7402597402597403
Ethambutol	r1000	SAMEA104302770	0.26452905811623245	0.7096774193548387
Ethambutol	r1000	SAMEA104302773	0.006012024048096192	0.5
Ethambutol	r1000	SAMEA104302778	0.15430861723446893	0.719626168224299
Ethambutol	r1000	SAMEA104394527	0.006012024048096192	0.75
Ethambutol	r1000	SAMEA104394535	0.1743486973947896	0.8207547169811321
Ethambutol	r1000	SAMEA104394542	0.1342685370741483	0.7528089887640449
Ethambutol	r1000	SAMEA104394546	0.2905811623246493	0.7142857142857143
Ethambutol	r1000	SAMEA104394572	0.002004008016032064	0.3333333333333333
Ethambutol	r1000	SAMEA104394635	0.014028056112224449	0.5384615384615384
Ethambutol	r1000	SAMEA104394648	0.10420841683366733	0.7323943661971831
Ethambutol	r1000	SAMEA104394649	0.19238476953907815	0.7619047619047619
Ethambutol	r1000	SAMEA104394712	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	SAMEA1100860	0.04408817635270541	0.88
Ethambutol	r1000	SAMEA1100872	0.012024048096192385	0.6
Ethambutol	r1000	SAMEA1100883	0.625250501002004	0.7684729064039408
Ethambutol	r1000	SAMEA1101276	0.1963927855711423	0.7101449275362319
Ethambutol	r1000	SAMEA1101283	0.20240480961923848	0.7266187050359713
Ethambutol	r1000	SAMEA1101296	0.47695390781563124	0.8013468013468014
Ethambutol	r1000	SAMEA1101326	0.13827655310621242	0.7040816326530612
Ethambutol	r1000	SAMEA1101333	0.13827655310621242	0.7752808988764045
Ethambutol	r1000	SAMEA1101339	0.050100200400801605	0.7352941176470589
Ethambutol	r1000	SAMEA1101371	0.15831663326653306	0.7247706422018348
Ethambutol	r1000	SAMEA1101378	0.15430861723446893	0.7064220183486238
Ethambutol	r1000	SAMEA1101386	0.11222444889779559	0.7887323943661971
Ethambutol	r1000	SAMEA1101387	0.16032064128256512	0.7692307692307693
Ethambutol	r1000	SAMEA1101389	0.156312625250501	0.7647058823529411
Ethambutol	r1000	SAMEA1101390	0.2725450901803607	0.7272727272727273
Ethambutol	r1000	SAMEA1101391	0.06613226452905811	0.75
Ethambutol	r1000	SAMEA1101524	0.13827655310621242	0.7040816326530612
Ethambutol	r1000	SAMEA1101529	0.12625250501002003	0.7974683544303798
Ethambutol	r1000	SAMEA1101535	0.006012024048096192	0.6
Ethambutol	r1000	SAMEA1101537	0.11623246492985972	0.7341772151898734
Ethambutol	r1000	SAMEA1101545	0.028056112224448898	0.7
Ethambutol	r1000	SAMEA1101554	0.1062124248496994	0.7464788732394366
Ethambutol	r1000	SAMEA1101594	0.17234468937875752	0.7288135593220338
Ethambutol	r1000	SAMEA1101615	0.3046092184368738	0.7875647668393783
Ethambutol	r1000	SAMEA1101623	0.30060120240480964	0.7281553398058253
Ethambutol	r1000	SAMEA1101628	0.0	0.0
Ethambutol	r1000	SAMEA1101630	0.006012024048096192	0.75
Ethambutol	r1000	SAMEA1101678	0.280561122244489	0.7253886010362695
Ethambutol	r1000	SAMEA1101685	0.01603206412825651	0.8888888888888888
Ethambutol	r1000	SAMEA1101686	0.23446893787575152	0.7177914110429447
Ethambutol	r1000	SAMEA1101699	0.14829659318637275	0.8043478260869565
Ethambutol	r1000	SAMEA1101702	0.13026052104208416	0.7222222222222222
Ethambutol	r1000	SAMEA1101704	0.04208416833667335	0.7241379310344828
Ethambutol	r1000	SAMEA1101727	0.05811623246492986	0.7631578947368421
Ethambutol	r1000	SAMEA1101733	0.21042084168336672	0.7191780821917808
Ethambutol	r1000	SAMEA1101740	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	SAMEA1101742	0.09218436873747494	0.7076923076923077
Ethambutol	r1000	SAMEA1101778	0.002004008016032064	0.5
Ethambutol	r1000	SAMEA1101816	0.006012024048096192	0.6
Ethambutol	r1000	SAMEA1101890	0.002004008016032064	1.0
Ethambutol	r1000	SAMEA1102214	0.14428857715430862	0.7346938775510204
Ethambutol	r1000	SAMEA1102240	0.07414829659318638	0.7551020408163265
Ethambutol	r1000	SAMEA1102261	0.03206412825651302	0.8888888888888888
Ethambutol	r1000	SAMEA1102290	0.250501002004008	0.7142857142857143
Ethambutol	r1000	SAMEA1102413	0.12024048096192384	0.7228915662650602
Ethambutol	r1000	SAMEA1102415	0.1683366733466934	0.7567567567567568
Ethambutol	r1000	SAMEA1102417	0.2865731462925852	0.7371134020618557
Ethambutol	r1000	SAMEA1102576	0.22244488977955912	0.7070063694267515
Ethambutol	r1000	SAMEA1102585	0.12625250501002003	0.7159090909090909
Ethambutol	r1000	SAMEA1103089	0.11222444889779559	0.8115942028985508
Ethambutol	r1000	SAMEA1103128	0.1683366733466934	0.7368421052631579
Ethambutol	r1000	SAMEA1103131	0.1683366733466934	0.717948717948718
Ethambutol	r1000	SAMEA1103137	0.17635270541082165	0.7521367521367521
