Method	Drug	Size	Recall	Precision	Accuracy	Fscore	Specificity	tp	fp	tn	fn	un
mykrobe	Isoniazid	r100000	0.143820224719101	1	0.671268334771355	0.25147347740668	1	64	0	714	381	0
mykrobe	Isoniazid	r1000000	0.921348314606742	0.969267139479905	0.958584987057808	0.944700460829493	0.981792717086835	410	13	701	35	0
mykrobe	Isoniazid	r5000	0	1	0.616048317515099	0	1	0	0	714	445	0
mykrobe	Isoniazid	r50000	0.0269662921348315	1	0.626402070750647	0.0525164113785558	1	12	0	714	433	0
mykrobe	Isoniazid	r500000	0.849438202247191	0.966751918158568	0.930974978429681	0.904306220095694	0.981792717086835	378	13	701	67	0
mykrobe	Kanamycin	r1000	0	1	0.726114649681529	0	1	0	0	114	43	0
mykrobe	Kanamycin	r10000	0	1	0.726114649681529	0	1	0	0	114	43	0
mykrobe	Kanamycin	r100000	0.186046511627907	1	0.777070063694268	0.313725490196078	1	8	0	114	35	0
mykrobe	Kanamycin	r1000000	0.883720930232558	1	0.968152866242038	0.938271604938272	1	38	0	114	5	0
mykrobe	Kanamycin	r5000	0	1	0.726114649681529	0	1	0	0	114	43	0
mykrobe	Kanamycin	r50000	0.0697674418604651	1	0.745222929936306	0.130434782608696	1	3	0	114	40	0
mykrobe	Kanamycin	r500000	0.767441860465116	1	0.936305732484076	0.868421052631579	1	33	0	114	10	0
mykrobe	Linezolid	r1000	0	1	1	0	1	0	0	4	0	0
mykrobe	Linezolid	r10000	0	1	1	0	1	0	0	4	0	0
mykrobe	Linezolid	r100000	0	1	1	0	1	0	0	4	0	0
mykrobe	Linezolid	r1000000	0	1	1	0	1	0	0	4	0	0
mykrobe	Linezolid	r5000	0	1	1	0	1	0	0	4	0	0
mykrobe	Linezolid	r50000	0	1	1	0	1	0	0	4	0	0
mykrobe	Linezolid	r500000	0	1	1	0	1	0	0	4	0	0
mykrobe	Moxifloxacin	r1000	0	1	0.790697674418605	0	1	0	0	68	18	0
mykrobe	Moxifloxacin	r10000	0	1	0.790697674418605	0	1	0	0	68	18	0
mykrobe	Moxifloxacin	r100000	0.166666666666667	0.75	0.813953488372093	0.272727272727273	0.985294117647059	3	1	67	15	0
mykrobe	Moxifloxacin	r1000000	0.888888888888889	0.727272727272727	0.906976744186046	0.8	0.911764705882353	16	6	62	2	0
mykrobe	Moxifloxacin	r5000	0	1	0.790697674418605	0	1	0	0	68	18	0
mykrobe	Moxifloxacin	r50000	0.111111111111111	1	0.813953488372093	0.2	1	2	0	68	16	0
mykrobe	Moxifloxacin	r500000	0.722222222222222	0.722222222222222	0.883720930232558	0.722222222222222	0.926470588235294	13	5	63	5	0
mykrobe	Pyrazinamide	r1000	0	1	0.826254826254826	0	1	0	0	642	135	0
mykrobe	Pyrazinamide	r10000	0	1	0.826254826254826	0	1	0	0	642	135	0
mykrobe	Pyrazinamide	r100000	0.0740740740740741	0.769230769230769	0.835263835263835	0.135135135135135	0.995327102803738	10	3	639	125	0
mykrobe	Pyrazinamide	r1000000	0.807407407407407	0.865079365079365	0.944658944658945	0.835249042145594	0.973520249221184	109	17	625	26	0
mykrobe	Pyrazinamide	r5000	0	1	0.826254826254826	0	1	0	0	642	135	0
mykrobe	Pyrazinamide	r50000	0.0222222222222222	0.6	0.827541827541828	0.0428571428571429	0.996884735202492	3	2	640	132	0
mykrobe	Pyrazinamide	r500000	0.681481481481481	0.85981308411215	0.925353925353925	0.760330578512397	0.976635514018692	92	15	627	43	0
mykrobe	Rifampicin	r1000	0	1	0.678631051752921	0	1	0	0	813	385	0
mykrobe	Rifampicin	r10000	0	1	0.678631051752921	0	1	0	0	813	385	0
mykrobe	Rifampicin	r100000	0.132467532467532	0.980769230769231	0.720367278797997	0.233409610983982	0.998769987699877	51	1	812	334	0
mykrobe	Rifampicin	r1000000	0.94025974025974	0.986376021798365	0.976627712854758	0.962765957446808	0.993849938499385	362	5	808	23	0
mykrobe	Rifampicin	r5000	0	1	0.678631051752921	0	1	0	0	813	385	0
mykrobe	Rifampicin	r50000	0.0441558441558442	1	0.692821368948247	0.0845771144278607	1	17	0	813	368	0
mykrobe	Rifampicin	r500000	0.857142857142857	0.985074626865672	0.94991652754591	0.916666666666667	0.993849938499385	330	5	808	55	0
mykrobe	Streptomycin	r1000	0	1	0.636190476190476	0	1	0	0	334	191	0
mykrobe	Streptomycin	r10000	0	1	0.636190476190476	0	1	0	0	334	191	0
mykrobe	Streptomycin	r100000	0.157068062827225	0.909090909090909	0.687619047619048	0.267857142857143	0.991017964071856	30	3	331	161	0
mykrobe	Streptomycin	r1000000	0.853403141361257	0.900552486187845	0.912380952380952	0.876344086021505	0.946107784431138	163	18	316	28	0
mykrobe	Streptomycin	r5000	0	1	0.636190476190476	0	1	0	0	334	191	0
mykrobe	Streptomycin	r50000	0.0418848167539267	0.8	0.647619047619048	0.0796019900497512	0.994011976047904	8	2	332	183	0
mykrobe	Streptomycin	r500000	0.759162303664921	0.900621118012422	0.881904761904762	0.823863636363636	0.952095808383233	145	16	318	46	0
tb_profiler	Amikacin	r1000	0	1	0.808383233532934	0	1	0	0	135	32	0
tb_profiler	Amikacin	r10000	0.03125	1	0.81437125748503	0.0606060606060606	1	1	0	135	31	0
tb_profiler	Amikacin	r100000	0.625	1	0.927710843373494	0.769230769230769	1	20	0	134	12	0
tb_profiler	Amikacin	r1000000	0.90625	1	0.981818181818182	0.950819672131147	1	29	0	133	3	0
tb_profiler	Amikacin	r5000	0	1	0.808383233532934	0	1	0	0	135	32	0
tb_profiler	Amikacin	r50000	0.290322580645161	1	0.866666666666667	0.45	1	9	0	134	22	0
tb_profiler	Amikacin	r500000	0.90625	1	0.981818181818182	0.950819672131147	1	29	0	133	3	0
tb_profiler	Bedaquiline	r1000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Bedaquiline	r10000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Bedaquiline	r100000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Bedaquiline	r1000000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Bedaquiline	r5000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Bedaquiline	r50000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Bedaquiline	r500000	0	1	1	0	1	0	0	3	0	0
tb_profiler	Capreomycin	r1000	0.0217391304347826	1	0.735294117647059	0.0425531914893617	1	1	0	124	45	0
tb_profiler	Capreomycin	r10000	0.0652173913043478	1	0.747058823529412	0.122448979591837	1	3	0	124	43	0
tb_profiler	Capreomycin	r100000	0.652173913043478	0.909090909090909	0.887573964497041	0.759493670886076	0.975609756097561	30	3	120	16	0
tb_profiler	Capreomycin	r1000000	0.891304347826087	0.911111111111111	0.946428571428571	0.901098901098901	0.967213114754098	41	4	118	5	0
tb_profiler	Capreomycin	r5000	0.0217391304347826	1	0.735294117647059	0.0425531914893617	1	1	0	124	45	0
tb_profiler	Capreomycin	r50000	0.304347826086957	0.933333333333333	0.804733727810651	0.459016393442623	0.991869918699187	14	1	122	32	0
tb_profiler	Capreomycin	r500000	0.891304347826087	0.911111111111111	0.946428571428571	0.901098901098901	0.967213114754098	41	4	118	5	0
tb_profiler	Clofazimine	r1000	0	1	1	0	1	0	0	6	0	0
tb_profiler	Clofazimine	r10000	0	1	1	0	1	0	0	6	0	0
